bin	score1	score2	delta
chr1:799999-900000	0.90733	0.74747	0.15986
chr1:999999-1100000	0.9999	0.809605	0.190295
chr1:1299999-1400000	0.87457	0.664226	0.21034399999999998
chr1:1499999-1600000	0.923731	0.687013	0.23671799999999998
chr1:1599999-1700000	0.947072	0.855714	0.09135800000000005
chr1:1699999-1800000	0.612279	0.515566	0.09671300000000005
chr1:1799999-1900000	0.57515	0.585526	-0.01037599999999994
chr1:1899999-2000000	0.357571	0.432712	-0.07514099999999996
chr1:1999999-2100000	0.499301	0.658105	-0.15880400000000006
chr1:2099999-2200000	0.538059	0.541776	-0.0037170000000000814
chr1:2299999-2400000	0.496256	0.612876	-0.11662
chr1:2399999-2500000	0.52168	0.671194	-0.14951399999999992
chr1:2499999-2600000	0.368174	0.475137	-0.10696299999999997
chr1:2599999-2700000	0.478002	0.965957	-0.48795499999999997
chr1:2699999-2800000	0.0984312	0.452914	-0.3544828
chr1:2799999-2900000	-0.0304893	0.488475	-0.5189643
chr1:3099999-3200000	0.116646	0.524306	-0.40766
chr1:3199999-3300000	-0.0188531	0.500633	-0.5194861
chr1:3299999-3400000	0.338307	0.545784	-0.20747700000000002
chr1:3399999-3500000	0.342424	0.56941	-0.22698599999999997
chr1:3499999-3600000	0.374139	0.521299	-0.14715999999999996
chr1:3599999-3700000	0.298283	0.342282	-0.043998999999999955
chr1:3699999-3800000	0.323056	0.288204	0.034851999999999994
chr1:3999999-4100000	-0.0694318	0.0959983	-0.1654301
chr1:4099999-4200000	-0.145977	0.186355	-0.33233199999999996
chr1:4199999-4300000	-0.161618	-0.0240449	-0.1375731
chr1:4299999-4400000	-0.113815	0.00826185	-0.12207685
chr1:4399999-4500000	-0.160545	0.00919196	-0.16973696
chr1:4499999-4600000	-0.16697	0.0656458	-0.2326158
chr1:4599999-4700000	-0.148787	0.0656192	-0.2144062
chr1:4899999-5000000	-0.250437	-0.0674149	-0.18302210000000002
chr1:4999999-5100000	-0.232241	-0.150427	-0.081814
chr1:5199999-5300000	-0.29756	-0.0707406	-0.2268194
chr1:5299999-5400000	-0.150274	-0.092202	-0.058071999999999985
chr1:5399999-5500000	-0.252193	-0.0584705	-0.1937225
chr1:5499999-5600000	-0.217925	0.105773	-0.32369800000000004
chr1:5599999-5700000	-0.261427	0.0500352	-0.3114622
chr1:5699999-5800000	-0.122863	0.0843195	-0.2071825
chr1:5899999-6000000	-0.0591989	0.160584	-0.2197829
chr1:5999999-6100000	0.187729	0.336765	-0.14903599999999997
chr1:6099999-6200000	0.108957	0.421921	-0.312964
chr1:6199999-6300000	0.392841	0.304514	0.08832699999999999
chr1:6299999-6400000	0.537183	0.516809	0.020374000000000003
chr1:6399999-6500000	0.507626	0.281715	0.22591100000000003
chr1:6599999-6700000	0.575401	0.50061	0.07479100000000005
chr1:6799999-6900000	0.483825	0.303987	0.179838
chr1:6899999-7000000	0.325939	0.322509	0.0034299999999999886
chr1:6999999-7100000	0.124443	0.433195	-0.308752
chr1:7099999-7200000	0.171404	0.293599	-0.122195
